wavelength;nr;k
308.1;5.00;4.0
401.9;5.54;0.4
475.9;4.450;0.1
516.6;4.201;0.07
620.0;3.912;0.03
690.7;3.801;0.01
774.4;3.821;0.01
841.0;3.64;0.006
